
ANOMALY tick: +12@2015.04.01.15.38.45
138.37.36.248->138.37.37.194: 84.0 (16.0)
138.37.36.248->138.37.37.125: 0.0 (-3.0)
138.37.36.248->138.37.37.128: 1.0 (1.0)
138.37.36.161->138.37.37.238: 6.0 (-6.0)
138.37.37.238->138.37.36.201: 2.0 (-1.0)
138.37.37.238->138.37.36.116: 0.0 (-4.0)
138.37.37.238->138.37.36.111: 0.0 (-2.0)
138.37.37.238->138.37.36.208: 32.0 (28.0)
138.37.37.238->138.37.36.112: 0.0 (-1.0)
138.37.37.238->138.37.36.51: 0.0 (-1.0)
138.37.37.238->138.37.36.24: 3.0 (3.0)
138.37.37.238->138.37.36.114: 0.0 (-1.0)
138.37.37.238->138.37.36.120: 5.0 (5.0)
138.37.37.238->138.37.36.198: 0.0 (-2.0)
138.37.37.238->138.37.36.118: 2.0 (2.0)
138.37.36.177->138.37.36.63: 11.0 (11.0)
138.37.36.177->138.37.36.22: 27.0 (27.0)
138.37.37.196->138.37.36.116: 2.0 (2.0)
138.37.37.196->138.37.36.111: 0.0 (-1.0)
138.37.37.196->138.37.36.206: 1.0 (1.0)
138.37.37.196->138.37.36.184: 1.0 (1.0)
138.37.37.196->138.37.36.21: 1.0 (1.0)
138.37.37.196->138.37.36.176: 1.0 (1.0)
138.37.37.196->138.37.36.136: 1.0 (1.0)
138.37.37.196->138.37.36.202: 0.0 (-1.0)
138.37.37.196->138.37.36.31: 1.0 (1.0)
138.37.37.196->138.37.36.166: 1.0 (1.0)
138.37.37.196->138.37.36.243: 1.0 (1.0)
138.37.37.196->138.37.36.210: 1.0 (-1.0)
138.37.37.196->138.37.36.28: 1.0 (1.0)
138.37.37.196->138.37.36.143: 1.0 (1.0)
138.37.37.196->138.37.36.44: 0.0 (-1.0)
138.37.37.196->138.37.36.154: 0.0 (-1.0)
138.37.37.196->138.37.36.140: 0.0 (-1.0)
138.37.37.196->138.37.36.79: 1.0 (1.0)
138.37.37.196->138.37.36.120: 1.0 (1.0)
138.37.37.196->138.37.36.180: 0.0 (-1.0)
138.37.37.196->138.37.36.108: 0.0 (-2.0)
138.37.37.196->138.37.36.81: 0.0 (-1.0)
138.37.37.196->138.37.36.118: 0.0 (-2.0)
138.37.37.196->138.37.36.137: 1.0 (1.0)
138.37.36.60->138.37.37.71: 0.0 (-1.0)
138.37.36.60->138.37.36.221: 1.0 (1.0)
138.37.36.148->138.37.36.155: 0.0 (-2.0)
138.37.37.132->138.37.36.109: 12.0 (12.0)
138.37.36.132->138.37.36.176: 1.0 (1.0)
138.37.36.132->138.37.36.114: 1.0 (1.0)
138.37.36.230->138.37.36.143: 1.0 (1.0)
138.37.37.84->138.37.36.111: 0.0 (-1.0)
138.37.37.84->138.37.36.143: 3.0 (3.0)
138.37.37.71->138.37.36.32: 0.0 (-1.0)
138.37.37.71->138.37.36.35: 15.0 (15.0)
138.37.37.70->138.37.36.101: 0.0 (-1.0)
138.37.37.70->138.37.36.218: 1.0 (1.0)
138.37.37.70->138.37.36.145: 1.0 (1.0)
138.37.36.116->138.37.36.67: 0.0 (-1.0)
138.37.36.122->138.37.37.140: 0.0 (-5.0)
138.37.36.160->138.37.36.37: 1.0 (1.0)
138.37.36.216->138.37.36.167: 1.0 (1.0)
138.37.37.13->138.37.36.108: 2.0 (2.0)
138.37.36.111->138.37.36.28: 3.0 (3.0)
138.37.37.68->138.37.36.35: 202.0 (202.0)
138.37.37.140->138.37.36.39: 0.0 (-1.0)
138.37.36.101->138.37.36.154: 0.0 (-1.0)
138.37.37.135->138.37.36.143: 1.0 (1.0)
138.37.36.123->138.37.36.28: 1.0 (1.0)
138.37.37.77->138.37.36.109: 1.0 (1.0)
138.37.36.16->138.37.37.137: 0.0 (-1.0)
138.37.36.208->138.37.37.242: 0.0 (-1.0)
138.37.36.37->138.37.37.73: 16.0 (16.0)
138.37.36.119->138.37.36.35: 16.0 (16.0)
138.37.37.142->138.37.36.147: 0.0 (-1.0)
138.37.36.218->138.37.37.69: 0.0 (-1.0)
138.37.36.51->216.58.208.78: 1.0 (-2.0)
138.37.36.51->216.58.208.65: 0.0 (-1.0)
138.37.37.197->138.37.36.19: 1.0 (1.0)
138.37.37.73->138.37.36.43: 1.0 (1.0)
138.37.36.107->138.37.36.138: 0.0 (-18.0)
138.37.36.107->138.37.37.136: 0.0 (-18.0)
138.37.36.145->138.37.95.206: 1.0 (-1.0)
138.37.36.24->138.37.36.173: 10.0 (10.0)
138.37.36.180->138.37.36.9: 22.0 (22.0)
138.37.37.136->138.37.36.117: 0.0 (-4.0)

ANOMALY tick: +13@2015.04.01.15.38.50
138.37.36.248->138.37.37.194: 83.0 (-1.0)
138.37.36.248->138.37.37.128: 0.0 (-1.0)
138.37.36.127->138.37.37.238: 0.0 (-6.0)
138.37.37.238->138.37.36.165: 1.0 (1.0)
138.37.37.238->138.37.36.201: 1.0 (-1.0)
138.37.37.238->138.37.36.157: 5.0 (5.0)
138.37.37.238->138.37.36.208: 51.0 (19.0)
138.37.37.238->138.37.36.153: 1.0 (1.0)
138.37.37.238->138.37.36.119: 2.0 (2.0)
138.37.37.238->138.37.36.24: 0.0 (-3.0)
138.37.37.238->138.37.36.120: 0.0 (-5.0)
138.37.37.238->138.37.36.129: 12.0 (12.0)
138.37.37.238->138.37.36.214: 9.0 (9.0)
138.37.37.238->138.37.36.117: 4.0 (4.0)
138.37.37.238->138.37.36.118: 0.0 (-2.0)
138.37.37.238->138.37.36.152: 2.0 (2.0)
138.37.36.177->138.37.36.63: 5.0 (-6.0)
138.37.36.177->138.37.36.22: 12.0 (-15.0)
138.37.36.205->138.37.37.196: 1.0 (1.0)
138.37.37.196->138.37.36.132: 1.0 (1.0)
138.37.37.196->138.37.36.230: 1.0 (1.0)
