
ANOMALY tick: +6@2015.04.01.15.39.35
138.37.36.248->138.37.37.194: 278.0 (43.0)
138.37.36.248->138.37.37.34: 5.0 (4.0)
138.37.36.248->138.37.88.219: 1.0 (1.0)
138.37.37.238->138.37.36.177: 0.0 (-6.0)
138.37.37.238->138.37.36.51: 6.0 (5.0)
138.37.37.238->138.37.36.172: 0.0 (-6.0)
138.37.37.238->138.37.36.201: 7.0 (-9.0)
138.37.37.238->138.37.36.116: 3.0 (2.0)
138.37.37.238->138.37.36.211: 50.0 (50.0)
138.37.37.238->138.37.36.111: 0.0 (-1.0)
138.37.37.238->138.37.36.101: 0.0 (-1.0)
138.37.37.238->138.37.36.230: 4.0 (4.0)
138.37.37.238->138.37.36.28: 11.0 (11.0)
138.37.37.238->52.16.98.15: 0.0 (-4.0)
138.37.37.238->138.37.36.102: 17.0 (16.0)
138.37.37.238->138.37.37.132: 0.0 (-7.0)
138.37.37.238->138.37.36.133: 1.0 (1.0)
138.37.37.238->138.37.36.184: 0.0 (-6.0)
138.37.37.238->138.37.36.107: 3.0 (2.0)
138.37.37.238->138.37.36.112: 1.0 (1.0)
138.37.37.238->138.37.36.143: 1.0 (1.0)
138.37.37.238->138.37.36.167: 11.0 (11.0)
138.37.37.238->138.37.36.106: 5.0 (5.0)
138.37.37.238->138.37.36.125: 0.0 (-2.0)
138.37.37.238->138.37.36.138: 42.0 (42.0)
138.37.37.238->138.37.36.66: 1.0 (1.0)
138.37.37.238->138.37.36.5: 1.0 (1.0)
138.37.37.238->138.37.36.198: 1.0 (-4.0)
138.37.37.238->138.37.36.33: 13.0 (13.0)
138.37.37.238->138.37.36.8: 0.0 (-5.0)
138.37.37.238->138.37.36.142: 30.0 (30.0)
138.37.37.238->138.37.36.173: 0.0 (-16.0)
138.37.37.238->138.37.36.1: 3.0 (3.0)
138.37.37.85->138.37.36.50: 1.0 (1.0)
138.37.37.85->138.37.36.216: 2.0 (2.0)
138.37.37.85->138.37.36.204: 1.0 (1.0)
138.37.37.85->138.37.36.210: 2.0 (2.0)
138.37.37.85->138.37.36.73: 1.0 (1.0)
138.37.37.85->138.37.36.217: 0.0 (-1.0)
138.37.36.64->138.37.36.180: 0.0 (-1.0)
138.37.37.196->138.37.36.177: 1.0 (-1.0)
138.37.37.196->138.37.36.161: 1.0 (1.0)
138.37.37.196->138.37.36.119: 0.0 (-2.0)
138.37.37.196->138.37.36.51: 1.0 (-1.0)
138.37.37.196->138.37.36.132: 2.0 (1.0)
138.37.37.196->138.37.36.172: 0.0 (-1.0)
138.37.37.196->138.37.36.108: 1.0 (1.0)
138.37.37.196->138.37.36.144: 4.0 (4.0)
138.37.37.196->138.37.36.13: 0.0 (-1.0)
138.37.37.196->138.37.36.122: 1.0 (1.0)
138.37.37.196->138.37.36.160: 4.0 (3.0)
138.37.37.196->138.37.36.29: 0.0 (-1.0)
138.37.37.196->138.37.88.19: 0.0 (-1.0)
138.37.37.196->138.37.36.216: 0.0 (-1.0)
138.37.37.196->138.37.36.111: 1.0 (1.0)
138.37.37.196->138.37.36.206: 1.0 (1.0)
138.37.37.196->138.37.36.63: 0.0 (-1.0)
138.37.37.196->138.37.36.168: 0.0 (-1.0)
138.37.37.196->138.37.36.101: 2.0 (2.0)
138.37.37.196->138.37.36.230: 1.0 (1.0)
138.37.37.196->138.37.36.205: 1.0 (1.0)
138.37.37.196->138.37.36.127: 0.0 (-1.0)
138.37.37.196->138.37.36.102: 2.0 (2.0)
138.37.37.196->138.37.36.86: 0.0 (-1.0)
138.37.37.196->138.37.36.25: 0.0 (-1.0)
138.37.37.196->138.37.36.202: 0.0 (-1.0)
138.37.37.196->138.37.36.31: 1.0 (-1.0)
138.37.37.196->138.37.36.210: 1.0 (-1.0)
138.37.37.196->138.37.36.60: 0.0 (-1.0)
138.37.37.196->138.37.36.143: 0.0 (-1.0)
138.37.37.196->138.37.36.123: 0.0 (-2.0)
138.37.37.196->138.37.36.167: 0.0 (-1.0)
138.37.37.196->138.37.36.42: 0.0 (-1.0)
138.37.37.196->138.37.36.125: 2.0 (2.0)
138.37.37.196->138.37.36.30: 1.0 (1.0)
138.37.37.196->138.37.36.145: 1.0 (-1.0)
138.37.37.196->138.37.36.79: 1.0 (1.0)
138.37.37.196->138.37.36.93: 0.0 (-2.0)
138.37.37.196->138.37.36.139: 3.0 (2.0)
